Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
БАЛЬЗАМ 200МЛ PUSH-UP ОБ`ЄМ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;429;3410;1.46289e+06
800 РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;92;3409;313628
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;153;3396;519588
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;312;3372;1.05206e+06
БАЛЬЗАМ 200МЛ З ОЛ_ЄЮ АРГАНА 3305909000,;SCHAUMA;Бальзам;Уход за волосами;420;3339;1.40238e+06
819 КРИСТАЛЬНА ШАМПАНЬ 3305909000,;BRILLANCE;BRILLANCE;Краска;118;3333;393294
ДЕЗ.АЕРОЗОЛЬ XTREME COOL 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;249;3321;826929
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;122;3301;402722
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;190;3254;618260
899 ПУРПУРОВИЙ АМЕТИСТ 3305909000,;BRILLANCE;BRILLANCE;Краска;115;3248;373520
