Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
МУС ДЛЯ УКЛАДКИ HOLD&FLEX 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;40;832;33280
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;87;832;72384
500 СЕРЕДН_Й КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;24;830;19920
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;15;828;12420
4-8 КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;SYOSS;Краска;31;825;25575
4058 М`ЯКИЙ ЛОСЬЙОН ДЛЯ ЗНЯТТЯ МАК_ЯЖУ 125МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;45;823;37035
SPORT СУПЕРЗАХИСТ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;64;819;52416
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;27;816;22032
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;69;812;56028
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;55;810;44550
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;66;809;53394
4-58 МОККО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;26;803;20878
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;36;797;28692
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;80;796;63680
465 ШОКОЛАДНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;23;795;18285
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;54;795;42930
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;66;791;52206
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;54;789;42606
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;54;789;42606
"3.""TOTAL-В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;67;789;52863
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;49;785;38465
1.СИН.СЕР_Я ULTRA ЛАК ЗСФ З АРГ_Н_НОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;52;778;40456
KI6 М_ДНО-КАШТАНОВИЙ 3305909000,;PALETTE;PALETTE;Краска;68;773;52564
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;97;771;74787
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;40;770;30800
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;53;769;40757
1-13 СМОРОДИНОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;25;768;19200
6.ХАЙД_ СПРЕЙ ТЕРМОЗАХИСН.Д/ГАРЯЧОЇ УКЛАДКИ 250МЛ 3305909000;TAFT;Спрей для укладки;Стайлинг;38;766;29108
"13.""ЕКСТРЕМ.OIL ЕЛ_КСИР"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;52;765;39780
ГЕЛЬ Д/ДУШУ XTREME POLAR 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;58;765;44370
"ГЕЛЬ+ЛОСЬЙОН ""ГРАНАТ"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;69;759;52371
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;62;756;46872
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;76;756;57456
400 ТЕМНИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;41;755;30955
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;34;752;25568
"ГЕЛЬ+ЛОСЬЙОН ""АВОКАДО"" 250МЛ 3401300000,";FA;FA-гель для душа;Гель для душа;68;748;50864
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;28;745;20860
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;36;745;26820
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;51;740;37740
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;93;739;68727
"13.""ЕКСТРЕМ.OIL ЕЛ_КСИР"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;50;736;36800
ЙОГУРТ АЛОЕ ВЕРА 90Г 3401110000,;FA;FA-мыло;Мыло;239;733;175187
11-0 СИЛЬНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;27;730;19710
КРЕМ-ГЕЛЬ ДЛЯ ВМИВАННЯ ЗВУЖУЮЧИЙ ПОРИ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;34;724;24616
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;59;722;42598
7.KERATIN (3) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;60;718;43080
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;70;716;50120
3.ШАМПУНЬ COLOR GUARD Д/ФАРБ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;34;707;24038
"2.ЧЕРВ.СЕР_Я П_НА ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;60;707;42420
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;72;706;50832
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;73;702;51246
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;87;695;60465
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;54;694;37476
5-1 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;26;688;17888
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;64;688;44032
В_ДНОВЛЕННЯ+Л_ФТИНГ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+;Уход за кожей;17;686;11662
575 ЧЕРВОНИЙ РУБ_Н 3305909000,;PALETTE;Фитолиния;Краска;49;686;33614
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;67;686;45962
6458 ПРОТИ ЗМОРШОК В_ДНОВЛ.Н_Ч 50МЛ 3304990000,;DIADEMINE;ОСНОВНА ПРОГРАМА;Уход за кожей;21;683;14343
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;63;677;42651
3.ЗЕЛ.СЕР_Я П_НА ЗСФ Д/ТОНКОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;57;672;38304
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;46;667;30682
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;105;667;70035
NUTRI SKIN NATURAL FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;69;663;45747
"12.БАЛЬЗАМ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305909";SYOSS;Бальзам;Уход за волосами;32;662;21184
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ _ БАМБУК 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;75;660;49500
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;47;658;30926
C10 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;57;648;36936
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;211;647;136517
SPORT ПРОЗОРИЙ ЗАХИСТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;65;646;41990
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;35;645;22575
SPORT ПРОЗОРИЙ ЗАХИСТ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;50;640;32000
БАЛЬЗАМ 200МЛ БЛИСК КОЛЬОРУ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;80;639;51120
898 Н_ЧНИЙ Д_АМАНТ 3305909000,;BRILLANCE;BRILLANCE;Краска;23;636;14628
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;64;636;40704
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;26;633;16458
750 ШОКОЛАД 3305909000,;PALETTE; DELUXE;Краска;26;632;16432
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;26;630;16380
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;42;618;25956
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;64;615;39360
10-1 СР_БЛЯСТИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;31;611;18941
"2.ЧЕРВ.СЕР_Я ГЕЛЬ-В_СК ""СЯЯННЯ Д_АМАНТ_В"" 75МЛ 3305909000,";TAFT;Гель-воск;Стайлинг;37;611;22607
5-92 НАСИЧЕНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;21;607;12747
БАЛЬЗАМ 200МЛ Q10 3305909000,;SCHAUMA;Бальзам;Уход за волосами;95;604;57380
Д.КАСПАР_ КРЕМ Д/КОНТУР_В ОЧЕЙ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;13;603;7839
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;47;603;28341
ДИТЯЧИЙ ШАМПУНЬ Д/ХЛОПЧИК_В 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;49;602;29498
ШАМПУНЬ В_Д ЛУПИ Д/ЧАСТОГО ВИКОРИСТАННЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;39;600;23400
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;30;598;17940
4-0 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;30;591;17730
13.МАСКА OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 250МЛ 3305909000,;SYOSS;Маска;Уход за волосами;24;590;14160
"12.МАСКА SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 250МЛ 330590900";SYOSS;Маска;Уход за волосами;24;590;14160
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;40;589;23560
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;60;589;35340
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;46;588;27048
5-85 ГОР_ХОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;19;586;11134
2-28 ТЕМНИЙ ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;22;585;12870
БАЛЬЗАМ 200МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;73;583;42559
820 ХОЛОДНИЙ ТЕМНО-РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;21;581;12201
СПОРТ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;45;579;26055
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;28;576;16128
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;60;574;34440
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;65;572;37180
5-6 МОЛОЧНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;29;571;16559
9.5-1 ПЛАТИНОВИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;29;571;16559
ДЕЗ.СТ_К XTREME DRY 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;46;570;26220
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;46;564;25944
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;34;560;19040
400 ТЕМНИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;15;555;8325
3-82 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;OLEO INTENSE;Краска;19;549;10431
ГЕЛЬ ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Гель для укладки;Стайлинг;23;547;12581
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;54;537;28998
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;37;534;19758
1-1 ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;20;532;10640
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;67;532;35644
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;24;531;12744
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;29;526;15254
811 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;19;525;9975
NUTRI SKIN ЗВОЛОЖЕННЯ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;24;525;12600
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000";GLISS KUR;Шампунь;Уход за волосами;36;522;18792
9-60 П_СОЧНИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;18;520;9360
ШАМПУНЬ В_Д ЛУПИ Д/ЖИРНОГО ВОЛОССЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;34;520;17680
ШАМПУНЬ 225МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;65;519;33735
300 ЧОРНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;15;518;7770
W2 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE;PALETTE;Краска;37;518;19166
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;43;515;22145
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;21;511;10731
ГЕЛЬ ДЛЯ ВМИВАННЯ БАЛАНСУЮЧИЙ 150МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;24;511;12264
ДЕЗ.АЕРОЗОЛЬ XTREME COOL 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;38;509;19342
ШАМПУНЬ 225МЛ Ф_ТО-КОФЕЇН 3305100000,;SCHAUMA;Шампунь;Уход за волосами;64;508;32512
БАЛЬЗАМ 200МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;80;508;40640
ФРИСТАЙЛ 3D 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;46;506;23276
3-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;19;505;9595
2-1 ТЕМНО-КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;19;505;9595
ШАМПУНЬ В_Д ЛУПИ Д/ЧАСТОГО ВИКОРИСТАННЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;33;504;16632
ДИТЯЧИЙ ШАМПУНЬ+ГЕЛЬ BABY 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;41;504;20664
4.POWER ЛАК Д/ВОЛОССЯ З КОФЕЇНОМ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;42;503;21126
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;54;503;27162
МУС ДЛЯ УКЛАДКИ COLOR GUARD 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;27;499;13473
883 ЕЛЕГАНТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;18;498;8964
2.ШАМПУНЬ REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 500МЛ 330510000;SYOSS;Шампунь;Уход за волосами;24;496;11904
8-15 ШАМПАНЬ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;16;494;7904
"1.СИН.СЕР_Я ULTRA П_НА ""ШОВКОВИЙ ДОТИК"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;34;494;16796
1.СИН.СЕР_Я ULTRA ЛАК Б/ЗАПАХУ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;34;494;16796
1-0 ЧОРНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;25;492;12300
3-0 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;25;492;12300
230 Б_ЛЕ ЗОЛОТО 3305909000,;PALETTE; DELUXE;Краска;20;488;9760
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;40;488;19520
1100 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;14;484;6776
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;40;483;19320
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;18;479;8622
SPORT СУПЕРЗАХИСТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;48;477;22896
7-6 РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;18;476;8568
11-0 СИЛЬНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;18;476;8568
ГЕЛЬ Д/ДУШУ XTREME COOL 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;36;474;17064
840 ЗАЧАРОВУЮЧИЙ РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;17;473;8041
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;43;473;20339
7.KERATIN (4) ЛАК Д/ВОЛОССЯ 225МЛ 3305300000,;TAFT;Пена;Стайлинг;39;467;18213
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;38;466;17708
218 СР_БЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE; DELUXE;Краска;19;464;8816
СПОРТ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;38;462;17556
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;19;460;8740
4.ШАМПУНЬ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;22;457;10054
ЧИСТОТА ТА СВ_Ж_СТЬ ЛАЙМ _ _МБИР 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;37;456;16872
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;57;455;25935
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;57;455;25935
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;40;454;18160
6-1 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;17;452;7684
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;17;452;7684
"2.ЧЕРВ.СЕР_Я П_НА ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;31;450;13950
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;32;448;14336
886 ЧЕРВОНА Н_Ч 3305909000,;BRILLANCE;BRILLANCE;Краска;16;445;7120
820 ХОЛОДНИЙ ТЕМНО-РУСЯВИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;16;445;7120
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;21;437;9177
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;18;436;7848
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;30;435;13050
3.ЗЕЛ.СЕР_Я ЛАК 350МЛ ЗСФ Д/ТОНКОГО ВОЛОССЯ 3305300000,;TAFT;Лак;Стайлинг;27;433;11691
"3.ЗЕЛ.СЕР_Я П_НА ""ОБ`ЄМ"" МЕГА Ф_КСАЦ_Я (5) 150МЛ 3305909000,";TAFT;Пена;Стайлинг;30;433;12990
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;36;431;15516
10.ШАМПУНЬ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;26;430;11180
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;35;429;15015
ШАМПУНЬ 380МЛ В_Д ЛУПИ INTENSIVE 3305100000,;SCHAUMA;Шампунь;Уход за волосами;36;429;15444
5-1 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;16;426;6816
6-8 ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;16;423;6768
ШАМПУНЬ 225МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;53;423;22419
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;44;421;18524
C9 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;30;420;12600
МУС ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;21;416;8736
655 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;PALETTE; DELUXE;Краска;17;413;7021
6-65 ЗОЛОТИСТИЙ СВ_ТЛО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;21;413;8673
"1.""Р_ДКИЙ ШОВК"" МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;20;412;8240
SPORT DOUBLE POWER SPORTY FRESH 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;43;411;17673
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;34;407;13838
ШАМПУНЬ 225МЛ К_В_ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;51;407;20757
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;29;406;11774
