Наименование;Бренд;Линейка;Категория;Количество;Сумма
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/ЖИРНОГО ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;46;952,2
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;13;294,84
"9.""ЕКСТРЕМ.ОБ`ЄМ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;5;73,65
8.БАЛЬЗАМ SMOOTH RELAX Д/НЕСЛУХН.,КУЧЕР.ВОЛ. 500МЛ 330590900;SYOSS;Бальзам;Уход за волосами;-17;-308,55
550 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;275;10136,5
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;81;1341,36
400 СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE; DELUXE;Краска;2;48,62
3.ЗЕЛ.СЕР_Я Р_ДИНА Д/УКЛАДКИ 150МЛ  3305909000,;TAFT;Жидкость для укладки;Стайлинг;357;7643,37
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;816;12223,68
"2.""ЗАХИСТ КОЛЬОРУ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;208;3020,16
"11.БАЛЬЗАМ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;24;397,44
1000 М`ЯКИЙ ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;153;5263,2
"1.СИН.СЕР_Я ULTRA П_НА ""ШОВКОВИЙ ДОТИК"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;34;494,02
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;8;94,24
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;34;407,66
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;359;2868,41
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;275;2645,5
ФРИСТАЙЛ 3D 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;81;1042,47
ЛАК ДЛЯ ВОЛОССЯ VOLUME LIFT 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;820;19245,4
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;24;293,76
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;8;90,32
9-60 П_СОЧНИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;110;2227,5
9-60 П_СОЧНИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;18;520,74
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;5;73,65
6-10 ТЕМНО-РУСЯВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;63;1822,59
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;13;270,53
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;-16;-206,72
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;209;2926
4-8 КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;SYOSS;Краска;153;4140,18
4-2 ЧЕРВОНЕ ДЕРЕВО 3305909000,;SYOSS;SYOSS;Краска;-3;-79,89
204 ЗОЛОТИСТА ВАН_ЛЬ 3305909000,;PALETTE; DELUXE;Краска;2;48,62
"2.""ЗАХИСТ КОЛЬОРУ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;512;11612,16
10.ШАМПУНЬ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;46;952,2
ШАМПУНЬ 380МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;360;4316,4
ШАМПУНЬ 225МЛ СЛУХНЯНИЙ ШОВК 3305100000,;SCHAUMA;Шампунь;Уход за волосами;514;4106,86
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;822;6567,78
ХОРОБРИЙ П_РАТ 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;81;993,87
ЛАК ДЛЯ ВОЛОССЯ COLOR GUARD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;153;3590,91
ДИНЯ ТА Л_Ч_ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;110;1182,5
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;5;71,05
SPORT DOUBLE POWER MEN POWER BOOST 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;24;264
RFE3 БАКЛАЖАН 3305909000,;PALETTE;PALETTE;Краска;209;2376,33
883 ЕЛЕГАНТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;18;498,06
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;9;250,38
819 КРИСТАЛЬНА ШАМПАНЬ 3305909000,;BRILLANCE;BRILLANCE;Краска;63;1743,21
813 ПЕРЛИННО-СР_БЛЯСТИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;-3;-83,49
5-68 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;13;256,23
5-29 _НТЕНСИВНИЙ ЧЕРВОНИЙ 3305909000,;SYOSS;SYOSS;Краска;2;45,28
400 ТЕМНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;35;1210,65
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;46;892,4
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;-16;-426,08
1.СИН.СЕР_Я ULTRA ГЕЛЬ З ЕФЕКТ.МОКРОГО ВОЛ. 150МЛ 3305909000;TAFT;Гель для укладки;Стайлинг;278;5740,7
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;110;1126,4
БАЛЬЗАМ 200МЛ Q10 3305909000,;SCHAUMA;Бальзам;Уход за волосами;519;4126,05
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;209;2079,55
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;24;238,8
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;153;3396,6
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;278;3160,86
H8 МЕДОВИЙ БЛОНД 3305909000,;PALETTE;PALETTE;Краска;5;71,05
883 ЕЛЕГАНТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;361;10198,25
813 ПЕРЛИННО-СР_БЛЯСТИЙ БЛОНДИН 3305909000,;BRILLANCE;BRILLANCE;Краска;35;968,45
7-58 ДИМЧАСТИЙ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549,76
7.KERATIN (3) П_НА Д/ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;13;191,62
5-8 ГОР_ХОВИЙ СВ_ТЛО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;18;479,16
5-32 СЛИВОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;-3;-92,67
4.POWER Р_ДИНА Д/УКЛАДКИ 150МЛ 3305909000,;TAFT;Жидкость для укладки;Стайлинг;2;42
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;46;667,92
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;63;1428,84
3.ЗЕЛ.СЕР_Я П_НА ЗСФ Д/ТОНКОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;828;12204,72
1-4 СИНЬО-ЧОРНИЙ 3305909000,;SYOSS;SYOSS;Краска;9;239,67
10-0 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;-14;-372,68
ШАМПУНЬ 225МЛ В_Д ЛУПИ CLASSIC 3305100000,;SCHAUMA;Шампунь;Уход за волосами;520;4134
ШАМПУНЬ 225МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;363;2885,85
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;46;588,8
ДЕЗ.СТ_К XTREME SPORTS 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;154;2387
NUTRI SKIN ПРУЖНА ШК_РА 250МЛ 3304990000,;FA;FA-уход;Лосьойон для тела;110;1058,2
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;63;677,25
N12 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;210;2940
C6 ХОЛОДНИЙ СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE;PALETTE;Краска;829;11780,09
868 ШОКОЛАДНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;5;71,05
8-1 СВ_ТЛО-РУСЯВИЙ 3305909000,;SYOSS;PRONATURE;Краска;9;239,58
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;279;5061,06
7-6 РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;18;476,64
5-89 ЧЕРВОНА СМОРОДИНА 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-12,8
5-85 ГОР_ХОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549,76
5-28 ЧЕРВОНО-КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;-14;-372,82
5-21 СВ_ТЛО-КАШТАНОВИЙ ШОКОЛАДНИЙ 3305909000,;SYOSS;PRONATURE;Краска;35;931,7
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000";GLISS KUR;Шампунь;Уход за волосами;13;191,49
1-13 СМОРОДИНОВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;25;768
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;2;41,62
ЧАР_ВН_ МОМЕНТИ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;154;1981,98
ДЕЗ.СТ_К XTREME DRY 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;46;570,4
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;833;2548,98
SPORT DOUBLE POWER COOL FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;211;2700,8
"9.""ЕКСТРЕМ.ОБ`ЄМ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;2;39,92
8-7 КАРАМЕЛЬНИЙ БЛОНД 3305909000,;SYOSS;SYOSS;Краска;35;931,7
750 МИГДАЛЬ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-14;-484,26
5-68 ЦУКРОВА МАЛИНА 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-12,8
5-6 МОЛОЧНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;364;7174,44
4-86 ПРАЛ_НЕ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;64;1966,08
4-58 МОККО Ф`ЮЖН 3305909000,;SYOSS;MIXING COLORS;Краска;113;3471,36
3-24 ГОР_ХОВИЙ КАШТАНОВИЙ 3305909000,;SYOSS;PRONATURE;Краска;9;238,32
3-0 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;25;492,75
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;13;184,73
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;521;7403,41
218 ПОПЕЛЯСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;5;69,65
"2.ЧЕРВ.СЕР_Я П_НА ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;279;4112,46
1-18 Г_РКИЙ ШОКОЛАД М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;83;2549,76
11-0 СИЛЬНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;18;476,64
ШОВК _ МАГНОЛ_Я 90Г 3401110000,;FA;FA-мыло;Мыло;840;2570,4
ШАМПУНЬ 225МЛ Q10 3305100000,;SCHAUMA;Шампунь;Уход за волосами;521;4141,95
РУСАЛОНЬКА 250МЛ 3401300000,;FA;FA-KIDS;Гель для душа;46;564,42
БАЛЬЗАМ 200МЛ 7 ТРАВ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;-2;-15,98
VN3 СЛИВА 3305909000,;PALETTE;PALETTE;Краска;13;182
SPORT DOUBLE POWER MEN POWER BOOST 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;279;3571,2
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;211;2586,86
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;364;5172,44
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;9;218,16
665 ЗОЛОТИСТИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;83;1529,69
600 СВ_ТЛИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-14;-484,26
4058 М`ЯКИЙ ЛОСЬЙОН ДЛЯ ЗНЯТТЯ МАК_ЯЖУ 125МЛ 3304990000,;DIADEMINE;ОЧИЩЕННЯ;Уход за кожей;113;2055,47
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;155;3126,35
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;5;58,9
"4.""NUTRITIVE"" ДОВГ.ВОЛ. МАСКА 1 ХВ. 200МЛ 3305909000,";GLISS KUR;Маска;Уход за волосами;18;436,5
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;2;39,36
"12.ШАМПУНЬ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305100";SYOSS;Шампунь;Уход за волосами;64;1324,8
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;35;645,05
1-0 ЧОРНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;25;492,75
ШАМПУНЬ В_Д ЛУПИ Д/ЖИРНОГО ВОЛОССЯ 250МЛ 3305100000,;SEBORIN;Шампунь;Уход за волосами;25;384,75
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;35;429,8
ШАМПУНЬ 225МЛ PUSH-UP ОБ`ЄМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;849;6783,51
ФРИСТАЙЛ 3D 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;46;506
СПОРТ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;523;5753
ДЕЗ.АЕРОЗОЛЬ XTREME DRY 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;83;885,61
ГЕЛЬ Д/ДУШУ XTREME SPORTS 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;155;2033,6
БАЛЬЗАМ 200МЛ СУПЕРФРУКТИ ТА ЖИВЛЕННЯ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;-13;-103,87
NUTRI SKIN ЯГОДА АКАЇ 90Г 3401110000,;FA;FA-мыло;Мыло;211;647,77
NUTRI SKIN INVISIBLE CONTROL 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;280;2693,6
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;5;56,85
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;13;182
800 РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;64;1179,52
550 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;114;4224,84
5-5 ЯСКРАВИЙ ГОР_Х 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-21,82
5.ШАМПУНЬ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;366;7616,46
4.БАЛЬЗАМ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;18;372,6
10.СПРЕЙ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 250МЛ 3305909000,;SYOSS;Спрей;Уход за волосами;9;216,63
"1.""Р_ДКИЙ ШОВК"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Шампунь;2;38,6
ШОВК _ МАГНОЛ_Я 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;35;378,35
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ БАВОВНИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;155;1847,6
ЛАК ДЛЯ ВОЛОССЯ MAX HOLD 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;9;212,4
SPORT СУПЕРЗАХИСТ 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;64;819,2
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-13;-146,77
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;212;2713,6
9-7 СВ_ТЛИЙ М_ДНИЙ 3305909000,;PALETTE; SALON COLORS;Краска;367;7233,57
9-10 ЯСКРАВИЙ БЛОНД 3305909000,;SYOSS;OLEO INTENSE;Краска;114;2308,5
874 ОКСАМИТНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;47;1308,01
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;13;182
6.ХАЙД_ П_НА Д/ГАРЯЧОЇ УКЛАДКИ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;25;363,25
6.ХАЙД_ ЛАК Д/ГАРЯЧОЇ УКЛАДКИ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;531;7954,38
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;5;56,85
4-99 ПУРПУРНА ВИШНЯ 3305909000,;PALETTE; COLOR&GLOSS;Краска;-2;-21,82
4-1 КАШТАНОВИЙ 3305909000,;SYOSS;SYOSS;Краска;84;2224,32
400 ТЕМНИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;855;31515,3
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;2;36,28
3.ШАМПУНЬ COLOR GUARD Д/ФАРБ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;18;372,6
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;281;3934
ШАМПУНЬ 225МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;368;2925,6
ГЕЛЬ Д/ДУШУ XTREME POLAR 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;114;1197
БАЛЬЗАМ 200МЛ К_В_ 3305909000,;SCHAUMA;Бальзам;Уход за волосами;35;279,65
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;863;9493
NUTRI SKIN ЗВОЛОЖЕННЯ 250МЛ 3401300000,;FA;FA-жидкое мыло;Жидкое мыло;-2;-22,58
NUTRI SKIN _НТЕНСИВНИЙ ДОГЛЯД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;64;688
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;5;54,05
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;25;350
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;47;658
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" OIL ЕЛ_КСИР 75МЛ 3305909000,";GLISS KUR;Эликсир;Уход за волосами;9;196,92
7-0 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;18;354,78
6-7 ЗОЛОТИСТИЙ ТЕМНО-РУСИЙ 3305909000,;SYOSS;SYOSS;Краска;85;2300,1
5-25 ВИШНЕВИЙ КОКТЕЙЛЬ 3305909000,;SYOSS;MIXING COLORS;Краска;-13;-364,13
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;283;3217,71
"3.""TOTAL-В_ДНОВЛЕННЯ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;533;7739,16
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;213;2982
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;13;182
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;156;1837,68
1.СИН.СЕР_Я ULTRA ГЕЛЬ З ЕФЕКТ.МОКРОГО ВОЛ. 150МЛ 3305909000;TAFT;Гель для укладки;Стайлинг;2;35,84
ШАМПУНЬ 380МЛ К_В_ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;-2;-23,98
ЧУТТЄВА ТРОЯНДА 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;534;5313,3
ПРИРОДНА СВ_Ж_СТЬ Б_ЛИЙ ЧАЙ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;64;636,8
ДИТЯЧИЙ ШАМПУНЬ Д/Д_ВЧАТОК 225МЛ 3305100000,;SCHAUMA;Детский шампунь;Уход за волосами;47;603,95
В_ДНОВЛЕННЯ+Л_ФТИНГ ДЕННИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+;Уход за кожей;-13;-495,17
SENSUAL&OIL КВ_ТКА Т_АРЕ 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;9;195,93
SENSUAL&OIL КВ_ТКА Т_АРЕ 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;5;53,75
N5 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;156;1773,72
N1 ЧОРНИЙ 3305909000,;PALETTE;PALETTE;Краска;25;350
H6 МЕДОВИЙ КАШТАН 3305909000,;PALETTE;PALETTE;Краска;2;28,42
899 ПУРПУРОВИЙ АМЕТИСТ 3305909000,;BRILLANCE;BRILLANCE;Краска;115;3248,75
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;36;996,12
800 ТЕМНО-КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;13;181,09
750 ЗОЛОТИСТИЙ ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;85;1566,55
700 ТЕМНО-РУСЯВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;286;10541,96
"4.POWER П_НА Д/УКЛАДКИ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 150МЛ 3305909000,";TAFT;Пена;Стайлинг;369;5439,06
390 СВ_ТЛА М_ДЬ 3305909000,;PALETTE;Фитолиния;Краска;213;2421,81
10-2 ПОПЕЛЯСТИЙ БЛОНД 3305909000,;PALETTE; SALON COLORS;Краска;18;354,78
10.ШАМПУНЬ SUBSTANCE&STRENGTH Д/НОРМ.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;876;18133,2
ШАМПУНЬ 225МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;5;39,75
ГЕЛЬ Д/ДУШУ XTREME COOL 250МЛ 3401300000,;FA;FA-MEN XTREME;Гель для душа;156;1638
БДЖОЛИНЕ МОЛОЧКО ЛУННА ОРХ_ДЕЯ 250МЛ 3401209000,;FA;FA-жидкое мыло;Жидкое мыло;-2;-24,66
БАДЬОРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;85;260,1
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;64;615,68
