Наименование;Бренд;Линейка;Категория;Количество;Сумма
2.МАСКА REPAIR THERAPY Д/СУХ.,ПОШКОДЖ.ВОЛ. 200МЛ 3305909000,;SYOSS;Маска;Уход за волосами;-4;-96,56
12-0 _НТЕНСИВНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;197;5330,82
"12.БАЛЬЗАМ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305909";SYOSS;Бальзам;Уход за волосами;32;662,4
1-10 ГЛИБОКИЙ ЧОРНИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;43;1243,99
1000 НАТУРАЛЬНИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;103;3817,18
100 СКАНДИНАВСЬКИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;7;79,59
ШАМПУНЬ 380МЛ Ф_ТО-ЗМ_ЦНЕННЯ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;197;2419,16
АКТИВН_ ГРАНУЛИ СВ_Ж_СТЬ РОСИ 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;76;756,2
WN3 ЗОЛОТИСТА КАВА 3305909000,;PALETTE;PALETTE;Краска;32;448
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;22;67,54
NATURAL&CARE Б_ЛИЙ ВИНОГРАД 500МЛ 3307300000,;FA;FA-пенна;Пена для ванны;59;1291,51
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;4;56,84
E20 ОСВ_ТЛЮЮЧИЙ 3305909000,;PALETTE;PALETTE;Краска;474;6735,54
"9.""ЕКСТРЕМ.ОБ`ЄМ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;260;5018
899 ПУРПУРОВИЙ АМЕТИСТ 3305909000,;BRILLANCE;BRILLANCE;Краска;1;27,82
891 СИНЬО-ЧОРНИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;43;1189,81
880 БАКЛАЖАН 3305909000,;PALETTE; DELUXE;Краска;-4;-97,76
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;140;3413,2
750 ЗОЛОТИСТИЙ КАШТАН 3305909000,;PALETTE;Фитолиния;Краска;16;181,92
"6.""ШИ КАШЕМ_Р"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;-44;-638,88
4-86 ПРАЛ_НЕ М_КС 3305909000,;SYOSS;MIXING COLORS;Краска;8;247,12
400 СЕРЕДНЬО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;12;168
4.POWER ГЕЛЬ Д/УКЛАДКИ N-TOUCH 150МЛ 3305909000,;TAFT;Гель для укладки;Стайлинг;344;7103,6
219 ХОЛОДНИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;715;10160,15
1100 СЕРЕДН_Й ОСВ_ТЛЮВАЧ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;103;3543,2
МУС ДЛЯ УКЛАДКИ HOLD&FLEX 250МЛ 3305909000,;SYOSS;Пена;Стайлинг;198;4096,62
ДЕЗ.АЕРОЗОЛЬ XTREME DRY 150МЛ 3307200000,;FAЬ;FA-MEN XTREME;Дезодорант-аэрозоль;344;4588,96
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;12;153,6
NATURAL&POWER Б_ЛИЙ ВИНОГРАД 50МЛ 3307200000,;FA;FA-дез-шариковый;Дезодорант-шариковый;16;153,92
900 ЧОРНИЙ 3305909000,;PALETTE; DELUXE;Краска;8;195,52
"9.""ЕКСТРЕМ.ОБ`ЄМ"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;59;1144,6
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;140;2539,6
842 СПЕКОТНА Н_Ч 3305909000,;BRILLANCE;BRILLANCE;Краска;1;27,82
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;32;376,96
607 БРОНЗОВИЙ СВ_ТЛО-КАШТАНОВИЙ+ЛОСЬЙОН Д/ЗНЯТТЯ МАК_ЯЖУ 330;PERFECT MOUSSE;PERFECT MOUSSE;Краска;-4;-126,72
465 ШОКОЛАДНИЙ КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;23;795,57
4-60 ЗОЛОТИСТИЙ КАШТАНОВИЙ 3305909000,;SYOSS;OLEO INTENSE;Краска;103;2085,75
"4.""NUTRITIVE"" ДОВГ.ВОЛ. БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;475;6897
"4.""NUTRITIVE"" ДОВГ.ВОЛ. БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;260;3829,8
"14.БАЛЬЗАМ GLOSSING ""ЕФЕКТ ЛАМ_НУВАННЯ"" 500МЛ 3305909000,";SYOSS;Бальзам;Уход за волосами;43;890,1
12-0 _НТЕНСИВНИЙ ОСВ_ТЛЮВАЧ 3305909000,;SYOSS;SYOSS;Краска;77;2049,74
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000";GLISS KUR;Бальзам;Уход за волосами;4;47,12
1.СИН.СЕР_Я ULTRA ЛАК З ЕКСТР.ОЛ_Ї АРГАНА 225МЛ 3305300000,;TAFT;Лак;Стайлинг;-44;-643,28
"1.""Р_ДКИЙ ШОВК"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;717;10561,41
ШАМПУНЬ 380МЛ СВ_Ж_СТЬ М`ЯТИ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;43;515,57
